z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty,betaMinus,betaMinusUncertainty
12,26,38Mg,0,3.1,ms,0.5,β⁻,100.0,,17600.0,525.0
12,25,37Mg,0,6.4,ms,1.5,β⁻,100.0,,18400.0,721.0
13,22,35Al,0,38.4,ms,0.3,β⁻,100.0,,14100.0,36.6
13,23,36Al,0,90,ms,40,β⁻,100.0,,18300.0,165.0
13,20,33Al,0,41.5,ms,0.1,β⁻,100.0,,12000.0,7.02
13,21,34Al,0,53.73,ms,0.13,β⁻,100.0,,16900.0,2.25
13,26,39Al,0,7.23,ms,0.3,β⁻,100.0,,19100.0,329.0
13,27,40Al,0,5.7,ms,0.4,β⁻,100.0,,23100.0,324.0
13,24,37Al,0,11.4,ms,0.3,β⁻,100.0,,16300.0,213.0
13,25,38Al,0,9,ms,0.7,β⁻,100.0,,20600.0,183.0
13,28,41Al,0,3.5,ms,0.9,β⁻,100.0,,21300.0,500.0
13,15,28Al,0,2.2483,m,0.0009,β⁻,100.0,,4640.0,0.0486
13,16,29Al,0,6.56,m,0.06,β⁻,100.0,,3680.0,0.344
13,19,32Al,0,31.7,ms,0.3,β⁻,100.0,,12900.0,7.17
13,17,30Al,0,3.61,s,0.04,β⁻,100.0,,8560.0,1.93
13,18,31Al,0,0.644,s,0.025,β⁻,100.0,,7990.0,2.23
14,17,31Si,0,157.24,m,0.16,β⁻,100.0,,1490.0,0.0434
14,18,32Si,0,163.3,y,6.2,β⁻,100.0,,227.0,0.3
14,19,33Si,0,6.17,s,0.17,β⁻,100.0,,5820.0,1.29
14,23,37Si,0,141,ms,5,β⁻,100.0,,12400.0,119.0
14,24,38Si,0,63,ms,8,β⁻,100.0,,10400.0,127.0
14,21,35Si,0,0.78,s,0.12,β⁻,100.0,,10400.0,35.9
14,22,36Si,0,503,ms,2,β⁻,100.0,,7810.0,72.9
14,27,41Si,0,20,ms,2.5,β⁻,100.0,,18100.0,323.0
14,28,42Si,0,15,ms,1.4,β⁻,100.0,,15700.0,315.0
14,25,39Si,0,38.7,ms,1.2,β⁻,100.0,,15000.0,176.0
14,26,40Si,0,30.3,ms,2.7,β⁻,100.0,,13800.0,147.0
14,20,34Si,0,2.77,s,0.2,β⁻,100.0,,4550.0,1.13
14,29,43Si,0,13,ms,5,β⁻,100.0,,19200.0,500.0
15,25,40P,0,150,ms,8,β⁻,100.0,,14600.0,83.7
15,24,39P,0,204,ms,39,β⁻,100.0,,10300.0,123.0
15,23,38P,0,640,ms,140,β⁻,100.0,,12200.0,72.9
15,22,37P,0,2.31,s,0.13,β⁻,100.0,,7900.0,37.9
15,29,44P,0,18.2,ms,0.8,β⁻,100.0,,20300.0,400.0
15,28,43P,0,36.5,ms,1.5,β⁻,100.0,,17200.0,300.0
15,27,42P,0,48.5,ms,1.5,β⁻,100.0,,18700.0,95.0
15,26,41P,0,101,ms,5,β⁻,100.0,,14000.0,120.0
15,21,36P,0,5.6,s,0.3,β⁻,100.0,,10400.0,13.1
15,20,35P,0,47.3,s,0.7,β⁻,100.0,,3980.0,1.86
15,30,45P,0,24,ms,11,β⁻,100.0,,19300.0,583.0
15,18,33P,0,25.35,d,0.11,β⁻,100.0,,248.0,1.09
15,17,32P,0,14.267,d,0.006,β⁻,100.0,,1710.0,0.04
15,19,34P,0,12.43,s,0.08,β⁻,100.0,,5380.0,0.811
16,30,46S,0,50,ms,8,β⁻,100.0,,14300.0,411.0
16,19,35S,0,87.35,d,0.07,β⁻,100.0,,167.0,0.0257
16,26,42S,0,1.016,s,0.013,β⁻,100.0,,7190.0,59.6
16,25,41S,0,2.6,s,1.4,β⁻,100.0,,8290.0,68.8
16,24,40S,0,8.8,s,2.2,β⁻,100.0,,4710.0,32.3
16,23,39S,0,11.5,s,0.5,β⁻,100.0,,6630.0,50.0
16,29,45S,0,68,ms,2,β⁻,100.0,,14900.0,329.0
16,28,44S,0,124.5,ms,2.3,β⁻,100.0,,11200.0,85.7
16,27,43S,0,265,ms,13,β⁻,100.0,,11900.0,62.0
16,22,38S,0,170.3,m,0.7,β⁻,100.0,,2930.0,7.17
16,21,37S,0,5.05,m,0.02,β⁻,100.0,,4860.0,0.196
17,28,45Cl,0,413,ms,25,β⁻,100.0,,11500.0,136.0
17,29,46Cl,0,232,ms,2,β⁻,100.0,,16000.0,97.2
17,24,41Cl,0,38.4,s,0.8,β⁻,100.0,,5760.0,68.7
17,25,42Cl,0,6.8,s,0.3,β⁻,100.0,,9590.0,59.8
17,26,43Cl,0,3.13,s,0.09,β⁻,100.0,,7850.0,62.0
17,27,44Cl,0,542,ms,108,β⁻,100.0,,12100.0,85.5
17,21,38Cl,0,37.236,m,0.012,β⁻,100.0,,4910.0,0.218
17,22,39Cl,0,56.2,m,0.6,β⁻,100.0,,3440.0,5.29
17,23,40Cl,0,1.33,m,0.03,β⁻,100.0,,7480.0,32.0
17,30,47Cl,0,101,ms,6,β⁻,100.0,,15700.0,200.0
17,19,36Cl,0,3.07e+05,y,1.54e+03,β⁻,98.1,0.1,709.0,0.0449
18,32,50Ar,0,105,ms,6,β⁻,100.0,,12400.0,500.0
18,30,48Ar,0,416,ms,16,β⁻,100.0,,9920.0,16.7
18,31,49Ar,0,236,ms,8,β⁻,100.0,,12500.0,400.0
