np,nn,delta,I,betaMinusQ,betaMinusQUncertainty,halflife_log_sec,halflife_log_sec_uncertainty,J_i,parity_i,flag_i,J_f,parity_f,flag_f,delta_J,delta_parity
86,137,0,0.22869955156950672,3.3010299956639813,0.0017480352896605887,3.163757523981956,0.017872200901368384,3.5,0,1,1.5,-1,1,-1.0,0
61,90,0,0.19205298013245034,3.0755469613925306,0.001631341457233223,5.009620840814325,0.0006116823688778195,2.5,1,0,2.5,-1,0,0.0,-1
89,143,1,0.23275862068965517,3.568201724066995,0.001537637219711513,2.0755469613925306,0.01824766730685932,1.0,1,1,0.0,1,0,1.0,1
53,73,1,0.15873015873015872,3.089905111439398,0.0013311302412806986,6.048112267359287,0.00167940634920051,2.0,-1,0,0.0,0,2,-1.0,0
38,54,-1,0.17391304347826086,3.287801729930226,0.002099836206315723,3.972943008105568,0.0033279270643927343,0.0,1,0,2.0,-1,0,2.0,-1
40,72,-1,0.2857142857142857,4.064457989226918,0.028491215580032293,-1.5228787452803376,0.28952965460216784,0.0,1,0,0.0,0,2,-1.0,0
59,98,0,0.2484076433121019,3.9057958803678687,0.0002060875678099903,-0.530177984021837,0.029443693688356056,0.0,0,2,2.5,-1,1,-1.0,0
41,65,1,0.22641509433962265,3.9965116721541785,0.0004040864987869974,0.04020662757471112,0.007521964590849393,1.0,-1,1,0.0,1,0,1.0,-1
41,63,1,0.21153846153846154,3.930949031167523,0.0004622970569380453,0.6901960800285137,0.026589458075709293,1.0,1,1,0.0,1,0,1.0,1
13,19,1,0.1875,4.110589710299249,0.00024138693296483064,-1.4989407377822486,0.004110042415488187,1.0,1,0,0.0,1,0,1.0,1
65,100,0,0.21212121212121213,3.4800069429571505,0.00024303234252201838,2.1024337056813365,0.020582676867452694,1.5,1,1,3.5,1,0,2.0,1
46,79,0,0.264,4.021189299069938,0.024361852365810982,-1.1924649719311466,0.01150000964541321,1.5,1,1,4.5,1,1,3.0,1
43,69,1,0.23214285714285715,4.012837224705172,0.00046380964086755047,-0.4907974776688971,0.008067389756716751,2.0,1,1,0.0,1,0,2.0,1
65,96,0,0.19254658385093168,2.7730546933642626,0.0008788421218952819,5.7790231328001544,0.0003307887954252751,1.5,1,0,0.0,0,2,-1.0,0
64,102,-1,0.2289156626506024,3.5352941200427703,0.0002722254041084523,0.6989700043360189,0.06948711710452028,0.0,1,0,1.0,-1,1,1.0,-1
