z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty,twoNeutronSeparationEnergy,twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy,twoProtonSeparationEnergyUncertainty,doubleBetaMinus,doubleBetaMinusUncertainty,doubleElectronCapture,doubleElectronCaptureUncertainty,electronCaptureOneProtonEmission,electronCaptureOneProtonEmissionUncertainty,betaMinusOneNeutronEmission,betaMinusOneNeutronEmissionUncertainty,betaMinusTwoNeutronEmission,betaMinusTwoNeutronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty,pairingGap,pairingGapUncertainty,firstExcitedStateEnergy,firstExcitedStateEnergyUncertainty,firstTwoPlusEnergy,firstTwoPlusEnergyUncertainty,firstThreeMinusEnergy,firstThreeMinusEnergyUncertainty,firstFourPlusEnergy,firstFourPlusEnergyUncertainty,firstFourPlusOverFirstTwoPlusEnergy,firstFourPlusOverFirstTwoPlusEnergyUncertainty,quadrupoleDeformation,quadrupoleDeformationUncertainty,BE4DBE2,BE4DBE2Uncertainty,thermalNeutronCapture,thermalNeutronFission,FY235U,FY235UUncertainty,FY239Pu,FY239PuUncertainty,FY252Cf,FY252CfUncertainty,FY238U,FY238UUncertainty,FY241U,FY241UUncertainty,cFY235U,cFY235UUncertainty,cFY239Pu,cFY239PuUncertainty,cFY252Cf,cFY252CfUncertainty,cFY238U,cFY238UUncertainty,cFY241U,cFY241UUncertainty,secondTwoPlusEnergy,secondTwoPlusEnergyUncertainty
5,7,12B,0,20.22,ms,0.04,1+,β⁻,100.0,,13300.0,1.32,13300.0,1.32,-11700.0,2.32,-12700.0,2.32,,,,,-10000.0,1.32,-54.5,1.48,,,,,-3960.0,1.65,-35600.0,30.0,-34600.0,1.45,-5350.0,1.32,-18400.0,1.86,6630.0,0.11,-113.0,0.11,754.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,13B,0,17.16,ms,0.18,3/2-,β⁻,100.0,,16500.0,1.0,13400.0,1.0,-17000.0,10.2,-18100.0,10.2,,,,,-10800.0,1.01,-149.0,7.53,,,,,11200.0,1.03,-40400.0,70.0,-39700.0,30.0,8490.0,1.0,-10200.0,1.41,6490.0,0.0769,-12.5,0.0769,1950.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,14B,0,12.34,ms,0.27,2-,β⁻,100.0,,23600.0,21.2,20600.0,21.2,-16200.0,133.0,-17300.0,133.0,,,,,-11800.0,24.7,-580.0,18.7,,,,,20800.0,21.2,,,-40600.0,73.1,12400.0,21.2,7520.0,29.9,6100.0,1.51,-277.0,1.51,904.0,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,14C,0,5686,y,22,0+,β⁻,100.0,,3010.0,0.00375,156.0,0.0037,-20600.0,21.2,-21600.0,21.2,,,,,-12000.0,0.081,2890.0,0.0405,,,,,-4980.0,0.0254,-36900.0,132.0,-37900.0,10.1,-10300.0,0.269,-30400.0,0.00537,7520.0,0.0004,-37.0,0.0004,3470.0,0.399,,,,,,,,,,,0.359,0.0279,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,15C,0,2.451,s,0.004,1/2+,β⁻,100.0,,9870.0,0.8,9770.0,0.8,-19000.0,21.0,-20100.0,21.0,,,,,-12700.0,0.834,1880.0,1.43,,,,,7010.0,0.938,-39900.0,165.0,-37300.0,132.0,-1060.0,0.8,-11600.0,1.13,7100.0,0.0533,-77.0,0.0533,1510.0,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,20C,0,16,ms,3.0,0+,β⁻,100.0,,37500.0,230.0,15700.0,243.0,-31800.0,593.0,-32900.0,593.0,,,,,-22300.0,284.0,470.0,200.0,,,,,33700.0,230.0,,,,,13500.0,231.0,8240.0,326.0,5960.0,11.5,-732.0,11.5,1520.0,339.0,,,,,,,,,,,0.403,0.0596,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,19C,0,46.3,ms,2.3,(1/2+),β⁻,100.0,,32400.0,98.3,16500.0,99.7,-27300.0,534.0,-28300.0,534.0,,,,,-19800.0,192.0,-190.0,124.0,,,,,29000.0,98.4,,,,,11200.0,100.0,8400.0,139.0,6110.0,5.17,-604.0,5.17,1200.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,22C,0,6.1,ms,+1.4-1.2,0+,β⁻,100.0,,53600.0,231.0,21800.0,311.0,,,,,,,,,,,,,,,,,44300.0,238.0,,,,,20300.0,267.0,15700.0,327.0,5420.0,10.5,-1030.0,10.5,1300.0,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,16C,0,750,ms,5,0+,β⁻,100.0,,13600.0,3.57,8010.0,4.25,-23400.0,24.8,-24400.0,24.8,,,,,-13800.0,4.05,742.0,2.73,,,,,18400.0,3.57,-43700.0,165.0,-43400.0,165.0,5520.0,3.57,-5310.0,5.06,6920.0,0.223,-25.0,0.223,1750.0,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,18C,0,92,ms,2,0+,β⁻,100.0,,24900.0,30.0,11800.0,35.2,-26800.0,206.0,-27800.0,206.0,,,,,-17400.0,135.0,-300.0,75.0,,,,,25700.0,30.0,,,,,8970.0,33.5,3090.0,42.4,6420.0,1.66,-334.0,1.66,1800.0,54.2,,,,,,,,,,,0.3,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,17C,0,193,ms,5,3/2+,β⁻,100.0,,21000.0,17.3,13100.0,22.9,-22600.0,204.0,-23700.0,204.0,,,,,-15000.0,20.1,-171.0,14.5,,,,,21800.0,17.3,,,-43700.0,166.0,7270.0,17.5,4780.0,24.5,6550.0,1.02,-224.0,1.02,1720.0,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,22N,0,20.9,ms,2.1,(0-),β⁻,100.0,,31700.0,207.0,22400.0,215.0,-21800.0,311.0,-22800.0,311.0,,,,,-22400.0,291.0,3460.0,186.0,,,,,28900.0,208.0,,,-53900.0,596.0,15600.0,208.0,11800.0,293.0,6370.0,9.44,-654.0,9.44,788.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14,21N,0,85.3,ms,4.5,(1/2-),β⁻,100.0,,25200.0,134.0,17100.0,134.0,-20400.0,611.0,-21400.0,611.0,,,,,-20900.0,244.0,2290.0,147.0,,,,,25200.0,134.0,-53100.0,574.0,-51400.0,562.0,13300.0,134.0,5750.0,189.0,6600.0,6.38,-407.0,6.38,1530.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16,23N,0,14.1,ms,+1.2-1.5,,β⁻,100.0,,36700.0,420.0,22000.0,437.0,-27400.0,1080.0,-28400.0,1080.0,,,,,-25400.0,672.0,5730.0,401.0,,,,,33400.0,421.0,,,,,19300.0,424.0,12500.0,594.0,6230.0,18.2,-756.0,18.2,2630.0,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,18N,0,619,ms,2,1-,β⁻,100.0,,13100.0,18.5,13800.0,18.5,-11800.0,35.2,-12800.0,35.2,,,,,-12900.0,28.1,115.0,17.9,,,,,12200.0,18.5,-38600.0,205.0,-37800.0,204.0,5850.0,18.5,1700.0,26.2,7030.0,1.03,-28.5,1.03,1250.0,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,17N,0,4.171,s,0.003,1/2-,β⁻,100.0,,7870.0,15.0,8670.0,15.0,-13100.0,22.9,-14100.0,22.9,,,,,-11100.0,15.0,387.0,10.6,,,,,5910.0,15.0,-35800.0,204.0,-36500.0,28.7,4530.0,15.0,-11100.0,21.2,7280.0,0.882,123.0,0.882,1520.0,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,20N,0,136,ms,3,(2-),β⁻,100.0,,21700.0,78.8,17900.0,78.8,-15700.0,243.0,-16700.0,243.0,,,,,-17700.0,82.6,561.0,75.1,,,,,21700.0,78.8,-47600.0,552.0,-45200.0,531.0,10300.0,78.9,6400.0,111.0,6700.0,3.94,-296.0,3.94,1220.0,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,19N,0,336,ms,3,1/2-,β⁻,100.0,,15800.0,16.4,12500.0,16.6,-16500.0,99.7,-17500.0,99.7,,,,,-15500.0,26.6,265.0,22.8,,,,,17300.0,16.4,-43900.0,525.0,-43200.0,204.0,8560.0,16.4,522.0,23.1,6940.0,0.863,-71.4,0.863,1580.0,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,16N,0,7.13,s,0.01,2-,β⁻,100.0,,5680.0,2.3,10400.0,2.3,-8010.0,4.25,-9030.0,4.25,,,,,-10100.0,2.65,992.0,1.75,,,,,-4990.0,5.83,-31400.0,24.6,-30500.0,21.1,-5240.0,2.35,-18400.0,3.25,7370.0,0.143,1.52,0.143,1690.0,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15,23O,0,96,ms,8,1/2+,β⁻,100.0,,14600.0,121.0,11300.0,126.0,-22000.0,437.0,-23100.0,437.0,,,,,-20200.0,156.0,5110.0,109.0,,,,,19700.0,121.0,-49500.0,1000.0,-46200.0,261.0,3750.0,122.0,-1470.0,172.0,7160.0,5.29,-439.0,5.29,729.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,24O,0,72,ms,4,0+,β⁻,100.0,,18500.0,164.0,10900.0,191.0,-28400.0,433.0,-29400.0,433.0,,,,,-21400.0,283.0,5900.0,175.0,,,,,24400.0,164.0,,,-52900.0,1010.0,7140.0,168.0,-435.0,233.0,7030.0,6.86,-517.0,6.86,2470.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,21O,0,3.42,s,0.1,(5/2+),β⁻,100.0,,8060.0,12.0,8100.0,12.1,-17100.0,134.0,-18100.0,134.0,,,,,-15300.0,21.1,1430.0,18.9,,,,,13700.0,12.0,-37500.0,596.0,-36700.0,230.0,8.17,12.0,-6590.0,16.9,7380.0,0.571,-106.0,0.571,1520.0,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14,22O,0,2.19,s,0.16,0+,β⁻,100.0,,9280.0,56.9,6480.0,58.2,-22400.0,215.0,-23500.0,215.0,,,,,-18000.0,64.3,3410.0,43.9,,,,,17300.0,56.9,-44300.0,238.0,-43600.0,599.0,1250.0,56.9,-6840.0,80.4,7360.0,2.58,-231.0,2.58,2050.0,73.2,,,,,,,,,,,0.212,0.0399,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,19O,0,26.47,s,0.006,5/2+,β⁻,100.0,,3330.0,2.63,4820.0,2.63,-12500.0,16.6,-13500.0,16.6,,,,,-8960.0,2.75,-973.0,1.9,,,,,1580.0,2.64,-29000.0,98.4,-28800.0,30.1,-5610.0,2.67,-14700.0,3.72,7560.0,0.138,131.0,0.138,1820.0,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,20O,0,13.51,s,0.04,0+,β⁻,100.0,,3790.0,0.885,3810.0,0.885,-17900.0,78.8,-18900.0,78.8,,,,,-12300.0,3.68,75.0,1.91,,,,,10800.0,0.884,-33700.0,230.0,-35900.0,98.3,-2780.0,0.884,-13200.0,1.25,7560.0,0.0442,84.1,0.0442,1900.0,6.17,,,,,,,,,,,0.268,0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18,27F,0,5.3,ms,0.3,(5/2+),β⁻,100.0,,25100.0,120.0,18000.0,150.0,-19500.0,514.0,-20500.0,514.0,,,,,-14000.0,437.0,-650.0,226.0,,,,,30600.0,120.0,,,,,16500.0,121.0,11000.0,169.0,6870.0,4.45,-285.0,4.45,905.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
